"Nr. Ctr.","Adresa","Nr","Sector","Anul construirii","Regimul de inaltime","Numar de apartamente","Anul Elaborarii Expertizei Tehnice","Expertul tehnic atestat pentru cerinta esentiala de calitate-rezistenta mecanica si stabilitate - M.D.L.P.A.","Ultima incadrare in clasa de risc","Incadrari anterioare in clasa de risc","Observatii"
"33","Strada BLANARI","2","Sector 3","1865","S+P+2E+Ma","0","2012","ing. Mihai URSACHESCU","1.Clasa de risc seismic RsI.",,
"34","Strada BLANARI","8","Sector 3","1884","S+P+2E+Ma","0","1993","Armand NEFIAN","1.Clasa de risc seismic RsI.",,
"35","Strada BLANARI","10","Sector 3","1875","S+P+2E","1","2012","ing. Mihai URSACHESCU","1.Clasa de risc seismic RsI.",,
"36","Strada BLANARI","11","Sector 3","1947","S+P+8E","14","2022","ing. Andrei DRAGOS MARCU","1.Clasa de risc seismic RsI.","Imobilul a mai fost incadrat in RSI; expertiza tehnica in an 1994 - Dan STANCIULESCU",
"37","Strada BLANARI","13","Sector 3","1900","S+P+2E+Pod","4","2023","     Andrei Dragoș Marcu","1.Clasa de risc seismic RsI.","A mai fost expertizat în anul 2015 de către expert tehnic atestat Anatolie Cazacliu",
"38","Strada BLANARI (CLUB A; GODOT CAFÉ TEATRU)","14 (3 corpuri principale + 1 corp secundar)","Sector 3","1934÷1937","S=P++4E+1E retars S+P=1E","40","2018","Ioan Mihai PAUL","1.Clasa de risc seismic RsI.","Imobilul a mai fost incadrat  in RSI; expertiza tehnica in an1993  - MIRCEA CONDRUT; RSII  2016-Ioan Mihai PAUL
",
"39","Strada BLANARI (colT cu Strada BACANI)","3 (3-5)","Sector 3","1883","S+P+Mz+2E+Ma","28","1993","Stelian PICULESCU","1.Clasa de risc seismic RsI.",,
"40","Strada BOCSA","3","Sector 2","1932","P+5E","25","1995","Marin TEODOR","1.Clasa de risc seismic RsI.",,
"41","Strada BOTEANU","3A÷3B","Sector 1","1935 1936","S+P+8E+Ma S+P+7E","90","2020","             Sabo Eugen","1.Clasa de risc seismic RsI.","1.Clasa de risc seismic RsI în anul 1995 Alexandrina Pretorian;Dan Ghiocel;Iorgu Necula",
"42","Strada BRAZILIA","56","Sector 1","1930","S+P+1E+Ma","5","1993","Armand NEFIAN","1.Clasa de risc seismic RsI.",,
"43","Strada BUZESTI","32A","Sector 1","1930","S+P+3E","1","1994","Horia DUGAN","1.Clasa de risc seismic RsI.",,
"44","Strada BUZESTI","48","Sector 1",,"S+P+2E","3","2007","Vladimir AMBROZIE","1.Clasa de risc seismic RsI.",,"Incadrare in clasa de risc seismic in anul 2007"
"45","Strada C. A. ROSETTI","27","Sector 2","1900","S+P+2E","4","1993","Ion LUNGU","1.Clasa de risc seismic RsI.",,
"46","Strada C. A. ROSETTI","42","Sector 2","1927","S+P+3E","8","1993","Adina SIMION","1.Clasa de risc seismic RsI.",,
"47","Strada C. A. ROSETTI","43","Sector 2","1933","S+P+5E+Ma","18","2007","DRAGOS BADEA","1.Clasa de risc seismic RsI.",,
"48","Strada C. A. ROSETTI","43A","Sector 2","1933","S+P+4E","11","1994","Adina SIMION","1.Clasa de risc seismic RsI.",,
"49","Strada CADEREA BASTILIEI","5","Sector 1","1938","S+P+7E","41","1994","Gabriel NICULESCU","1.Clasa de risc seismic RsI.",,
"50","Strada CADEREA BASTILIEI","16","Sector 1","1937","S+P+3E+Ma","7","2023","Mihai Ursăchescu","1.Clasa de risc seismic RsI.","Încadrare în clasă de risc seismic în anul 1995 Vladimir Ambrozie",
"51","Strada CAIMATEI","18","Sector 2","1936","P+5E","13","1998","Rodica VASILESCU","1.Clasa de risc seismic RsI.",,
"52","Calea CALARASILOR","99 (corp A)","Sector 3","1922","S+P","3","1993","Adina SIMION","1.Clasa de risc seismic RsI.",,"Imobil propus pentru demolare"
